name,precision,recall,f1,iou,fp_rate,accuracy,specificity,TP,FP,FN,TN,inf_ms
test_01,0.9702756160760403,0.9228257129522064,0.9459560071463593,0.8974540090924934,0.003868680794953671,0.9873073940224237,0.9961313192050464,1354399,41492,113266,10683611,279.63
test_02,0.988995868225902,0.8616325733405832,0.9209315450068145,0.8534505301729262,0.002369845192890546,0.970675485664945,0.9976301548071095,2082223,23168,334379,9752998,61.54
test_03,0.8400323799622468,0.9413993247160433,0.8878318637299453,0.7982892467208422,0.03071680092902236,0.9652043736090115,0.9692831990709776,1679029,319738,104517,10089484,62.97
test_04,0.9889050163274217,0.8381797987075364,0.9073253750514391,0.8303710494733533,0.004040477235717448,0.9485416272990678,0.9959595227642826,3071359,34459,592961,8493989,81.08
test_05,0.9721014243386256,0.9088041387730428,0.9393877237351367,0.8857032345913998,0.004663584680795771,0.9822109302826069,0.9953364153192042,1680776,48237,168661,10295094,66.3
