name,precision,recall,f1,iou,fp_rate,accuracy,TP,FP,FN,TN,inf_ms
test_01,0.49090724132471664,0.44249552824791266,0.4654459278499142,0.30331021649681666,0.06676319536030938,0.870907492047745,685253,710638,863357,9933520,168.9
test_02,0.5298236764572472,0.45860705864940476,0.49164978229183515,0.3259520080415167,0.1014201931410215,0.8108096537226002,1115486,989905,1316849,8770528,52.72
test_03,0.5606581457468529,0.6041355894557349,0.5815854414859525,0.4100250085526689,0.08494439605159489,0.8677543934240363,1120625,878142,734298,9459703,52.43
test_04,0.7068810857558299,0.6004757979242782,0.6493482985487116,0.4807666534984413,0.10664370356608267,0.8055319349962207,2195444,910374,1460730,7626220,58.57
test_05,0.5905328647037356,0.5461743047910655,0.5674880663930117,0.39614892768404897,0.06858000277042388,0.8723527750220459,1021039,707974,848399,9615356,47.1
