name,recall@10px,prec@10px,f1@10px,fpr@10px,recall@20px,prec@20px,f1@20px,fpr@20px,recall@30px,prec@30px,f1@30px,fpr@30px,recall@50px,prec@50px,f1@50px,fpr@50px,mean_gt2pred,mean_pred2gt,chamfer,hausdorff,n_points,inf_ms
test_01,0.7833333333333333,0.9082432970809821,0.8411764936783814,0.09175670291901794,0.7916666666666666,0.9452944289511396,0.8616866451118079,0.054705571048860424,0.7972222222222223,0.9673847763909783,0.8740990393718978,0.03261522360902169,0.8083333333333333,0.9974371629215153,0.8929835860836921,0.002562837078484703,186.14822387695312,2.9956746101379395,94.57195281982422,1337.201416015625,720,168.9
test_02,0.9027093596059114,0.44840805258027805,0.5991813033212483,0.551591947419722,0.9679802955665024,0.5261267785867144,0.6817186846270085,0.4738732214132856,0.9802955665024631,0.5781516311539237,0.7273387018035118,0.42184836884607635,0.9963054187192119,0.6071399399922676,0.7544963211234654,0.39286006000773244,2.8384673595428467,140.00051879882812,71.41949462890625,941.269775390625,812,52.72
test_03,0.9592356687898089,0.4718901056314056,0.6325842622095186,0.5281098943685945,0.9732484076433121,0.508730171199338,0.6681889146151215,0.49126982880066195,0.9859872611464968,0.5197620282067799,0.6806959727799866,0.48023797179322014,1.0,0.5401970180207073,0.7014648278113269,0.4598029819792927,1.140916109085083,274.5782775878906,137.85960388183594,1468.70703125,785,52.43
test_04,1.0,0.507365873143627,0.6731821148179642,0.492634126856373,1.0,0.5678190934401698,0.7243426181195931,0.4321809065598302,1.0,0.5682543089314566,0.7246966333140721,0.43174569106854344,1.0,0.5682543089314566,0.7246966333140721,0.43174569106854344,0.0,551.1371459960938,275.5685729980469,1845.9024658203125,351,58.57
test_05,0.9739243807040417,0.6214246181409441,0.7587312704810512,0.3785753818590559,0.9934810951760105,0.7520041538048967,0.856039214006752,0.2479958461951033,0.9973924380704041,0.8376507038074643,0.9105687584728418,0.16234929619253569,1.0,0.9018920353073416,0.9484155972729523,0.09810796469265837,0.5985764265060425,29.00455093383789,14.801563262939453,370.4000244140625,767,47.1
